base,True Negative,False Negative,False Positive,True Positive
densenet,93,7,27,264
densenet,93,7,32,259
densenet,92,8,25,266
densenet,93,7,26,265
densenet,93,7,33,258
densenet,91,9,26,265
densenet,88,12,22,269
densenet,92,8,26,265
densenet,93,7,30,261
densenet,92,8,27,264
densenet,92,8,25,266
densenet,94,6,41,250
densenet,93,7,29,262
densenet,88,12,20,271
densenet,90,10,24,267
densenet,93,7,31,260
densenet,92,8,25,266
densenet,92,8,25,266
densenet,92,8,24,267
densenet,88,12,22,269
densenet,92,8,25,266
densenet,93,7,26,265
densenet,92,8,26,265
densenet,92,8,25,266
densenet,92,8,24,267
densenet,92,8,25,266
densenet,90,10,24,267
densenet,92,8,25,266
densenet,93,7,26,265
densenet,88,12,21,270
densenet_gauss,97,3,36,255
densenet_gauss,95,5,26,265
densenet_gauss,95,5,25,266
densenet_gauss,97,3,30,261
densenet_gauss,97,3,26,265
densenet_gauss,96,4,26,265
densenet_gauss,97,3,26,265
densenet_gauss,97,3,27,264
densenet_gauss,97,3,28,263
densenet_gauss,97,3,34,257
densenet_gauss,97,3,26,265
densenet_gauss,97,3,31,260
densenet_gauss,97,3,36,255
densenet_gauss,96,4,26,265
densenet_gauss,96,4,26,265
densenet_gauss,95,5,26,265
densenet_gauss,97,3,27,264
densenet_gauss,97,3,30,261
densenet_gauss,97,3,32,259
densenet_gauss,97,3,32,259
densenet_gauss,97,3,26,265
densenet_gauss,97,3,30,261
densenet_gauss,95,5,26,265
densenet_gauss,96,4,26,265
densenet_gauss,95,5,26,265
densenet_gauss,95,5,26,265
densenet_gauss,97,3,26,265
densenet_gauss,95,5,25,266
densenet_gauss,97,3,26,265
densenet_gauss,95,5,26,265
mobilenet,98,2,56,235
mobilenet,91,9,28,263
mobilenet,97,3,44,247
mobilenet,97,3,51,240
mobilenet,93,7,31,260
mobilenet,96,4,44,247
mobilenet,96,4,37,254
mobilenet,96,4,41,250
mobilenet,74,26,12,279
mobilenet,100,0,87,204
mobilenet,95,5,38,253
mobilenet,96,4,44,247
mobilenet,98,2,47,244
mobilenet,95,5,33,258
mobilenet,98,2,60,231
mobilenet,95,5,38,253
mobilenet,87,13,23,268
mobilenet,98,2,54,237
mobilenet,91,9,28,263
mobilenet,98,2,65,226
mobilenet,81,19,21,270
mobilenet,91,9,32,259
mobilenet,97,3,54,237
mobilenet,98,2,44,247
mobilenet,98,2,57,234
mobilenet,98,2,54,237
mobilenet,94,6,37,254
mobilenet,93,7,29,262
mobilenet,89,11,25,266
mobilenet,99,1,74,217
mobilenet_gauss,91,9,32,259
mobilenet_gauss,94,6,46,245
mobilenet_gauss,93,7,43,248
mobilenet_gauss,94,6,44,247
mobilenet_gauss,92,8,38,253
mobilenet_gauss,94,6,46,245
mobilenet_gauss,92,8,38,253
mobilenet_gauss,94,6,44,247
mobilenet_gauss,92,8,42,249
mobilenet_gauss,96,4,54,237
mobilenet_gauss,94,6,44,247
mobilenet_gauss,92,8,38,253
mobilenet_gauss,94,6,44,247
mobilenet_gauss,92,8,40,251
mobilenet_gauss,94,6,47,244
mobilenet_gauss,92,8,37,254
mobilenet_gauss,93,7,42,249
mobilenet_gauss,93,7,42,249
mobilenet_gauss,93,7,43,248
mobilenet_gauss,93,7,39,252
mobilenet_gauss,94,6,47,244
mobilenet_gauss,93,7,37,254
mobilenet_gauss,93,7,42,249
mobilenet_gauss,93,7,41,250
mobilenet_gauss,94,6,46,245
mobilenet_gauss,92,8,40,251
mobilenet_gauss,93,7,42,249
mobilenet_gauss,91,9,37,254
mobilenet_gauss,94,6,44,247
mobilenet_gauss,92,8,41,250
vgg16,94,6,30,261
vgg16,92,8,21,270
vgg16,91,9,17,274
vgg16,93,7,16,275
vgg16,94,6,26,265
vgg16,94,6,31,260
vgg16,94,6,34,257
vgg16,91,9,18,273
vgg16,88,12,16,275
vgg16,94,6,33,258
vgg16,93,7,24,267
vgg16,94,6,27,264
vgg16,94,6,23,268
vgg16,89,11,12,279
vgg16,96,4,47,244
vgg16,92,8,18,273
vgg16,93,7,24,267
vgg16,94,6,31,260
vgg16,94,6,31,260
vgg16,91,9,16,275
vgg16,94,6,27,264
vgg16,94,6,28,263
vgg16,95,5,39,252
vgg16,93,7,18,273
vgg16,94,6,27,264
vgg16,93,7,22,269
vgg16,92,8,17,274
vgg16,93,7,23,268
vgg16,93,7,27,264
vgg16,88,12,14,277
vgg16_gauss,89,11,29,262
vgg16_gauss,90,10,28,263
vgg16_gauss,95,5,40,251
vgg16_gauss,88,12,21,270
vgg16_gauss,89,11,26,265
vgg16_gauss,94,6,33,258
vgg16_gauss,89,11,21,270
vgg16_gauss,92,8,29,262
vgg16_gauss,96,4,36,255
vgg16_gauss,95,5,34,257
vgg16_gauss,91,9,29,262
vgg16_gauss,89,11,20,271
vgg16_gauss,90,10,23,268
vgg16_gauss,92,8,32,259
vgg16_gauss,91,9,28,263
vgg16_gauss,98,2,39,252
vgg16_gauss,90,10,28,263
vgg16_gauss,91,9,24,267
vgg16_gauss,90,10,28,263
vgg16_gauss,94,6,31,260
vgg16_gauss,90,10,20,271
vgg16_gauss,90,10,29,262
vgg16_gauss,93,7,31,260
vgg16_gauss,94,6,36,255
vgg16_gauss,90,10,28,263
vgg16_gauss,90,10,26,265
vgg16_gauss,94,6,32,259
vgg16_gauss,91,9,30,261
vgg16_gauss,92,8,30,261
vgg16_gauss,91,9,25,266
