base,True Negative,False Negative,False Positive,True Positive
densenet,91,9,21,270
densenet,92,8,20,271
densenet,92,8,20,271
densenet,90,10,20,271
densenet,92,8,20,271
densenet,93,7,21,270
densenet,92,8,20,271
densenet,92,8,21,270
densenet,92,8,20,271
densenet,90,10,21,270
densenet,90,10,20,271
densenet,92,8,22,269
densenet,91,9,22,269
densenet,91,9,20,271
densenet,92,8,21,270
densenet,91,9,21,270
densenet,90,10,21,270
densenet,92,8,20,271
densenet,92,8,20,271
densenet,91,9,20,271
densenet,92,8,20,271
densenet,92,8,21,270
densenet,92,8,21,270
densenet,92,8,20,271
densenet,91,9,20,271
densenet,92,8,21,270
densenet,92,8,20,271
densenet,90,10,21,270
densenet,93,7,21,270
densenet,90,10,21,270
densenet_gauss,95,5,37,254
densenet_gauss,96,4,35,256
densenet_gauss,95,5,35,256
densenet_gauss,96,4,37,254
densenet_gauss,95,5,38,253
densenet_gauss,96,4,38,253
densenet_gauss,95,5,36,255
densenet_gauss,94,6,35,256
densenet_gauss,95,5,36,255
densenet_gauss,95,5,37,254
densenet_gauss,94,6,36,255
densenet_gauss,96,4,33,258
densenet_gauss,96,4,35,256
densenet_gauss,95,5,33,258
densenet_gauss,96,4,36,255
densenet_gauss,94,6,38,253
densenet_gauss,95,5,38,253
densenet_gauss,93,7,37,254
densenet_gauss,93,7,37,254
densenet_gauss,96,4,34,257
densenet_gauss,95,5,36,255
densenet_gauss,95,5,36,255
densenet_gauss,94,6,34,257
densenet_gauss,94,6,37,254
densenet_gauss,94,6,37,254
densenet_gauss,95,5,38,253
densenet_gauss,95,5,41,250
densenet_gauss,94,6,35,256
densenet_gauss,95,5,39,252
densenet_gauss,94,6,36,255
mobilenet,95,5,35,256
mobilenet,95,5,39,252
mobilenet,94,6,35,256
mobilenet,93,7,38,253
mobilenet,93,7,35,256
mobilenet,94,6,37,254
mobilenet,94,6,35,256
mobilenet,94,6,34,257
mobilenet,94,6,35,256
mobilenet,94,6,34,257
mobilenet,95,5,35,256
mobilenet,95,5,38,253
mobilenet,93,7,39,252
mobilenet,95,5,35,256
mobilenet,94,6,38,253
mobilenet,94,6,37,254
mobilenet,94,6,36,255
mobilenet,96,4,38,253
mobilenet,96,4,37,254
mobilenet,96,4,36,255
mobilenet,94,6,37,254
mobilenet,94,6,38,253
mobilenet,95,5,35,256
mobilenet,94,6,39,252
mobilenet,93,7,36,255
mobilenet,96,4,37,254
mobilenet,94,6,36,255
mobilenet,95,5,36,255
mobilenet,95,5,36,255
mobilenet,94,6,36,255
mobilenet_gauss,93,7,39,252
mobilenet_gauss,93,7,41,250
mobilenet_gauss,93,7,41,250
mobilenet_gauss,94,6,42,249
mobilenet_gauss,93,7,41,250
mobilenet_gauss,93,7,43,248
mobilenet_gauss,92,8,42,249
mobilenet_gauss,93,7,40,251
mobilenet_gauss,93,7,40,251
mobilenet_gauss,93,7,40,251
mobilenet_gauss,93,7,41,250
mobilenet_gauss,92,8,42,249
mobilenet_gauss,93,7,40,251
mobilenet_gauss,93,7,40,251
mobilenet_gauss,93,7,40,251
mobilenet_gauss,93,7,40,251
mobilenet_gauss,93,7,40,251
mobilenet_gauss,92,8,41,250
mobilenet_gauss,92,8,41,250
mobilenet_gauss,93,7,40,251
mobilenet_gauss,92,8,41,250
mobilenet_gauss,93,7,41,250
mobilenet_gauss,92,8,39,252
mobilenet_gauss,92,8,40,251
mobilenet_gauss,92,8,41,250
mobilenet_gauss,93,7,42,249
mobilenet_gauss,92,8,41,250
mobilenet_gauss,93,7,41,250
mobilenet_gauss,93,7,39,252
mobilenet_gauss,92,8,41,250
vgg16,90,10,24,267
vgg16,90,10,25,266
vgg16,90,10,24,267
vgg16,90,10,24,267
vgg16,90,10,24,267
vgg16,90,10,24,267
vgg16,90,10,25,266
vgg16,90,10,24,267
vgg16,90,10,24,267
vgg16,90,10,24,267
vgg16,90,10,24,267
vgg16,90,10,24,267
vgg16,90,10,25,266
vgg16,90,10,24,267
vgg16,90,10,24,267
vgg16,90,10,24,267
vgg16,90,10,24,267
vgg16,90,10,24,267
vgg16,90,10,24,267
vgg16,90,10,25,266
vgg16,90,10,24,267
vgg16,90,10,24,267
vgg16,90,10,24,267
vgg16,90,10,24,267
vgg16,90,10,24,267
vgg16,90,10,24,267
vgg16,90,10,24,267
vgg16,90,10,24,267
vgg16,90,10,24,267
vgg16,90,10,24,267
vgg16_gauss,90,10,30,261
vgg16_gauss,89,11,30,261
vgg16_gauss,89,11,31,260
vgg16_gauss,91,9,27,264
vgg16_gauss,89,11,31,260
vgg16_gauss,93,7,33,258
vgg16_gauss,88,12,33,258
vgg16_gauss,90,10,31,260
vgg16_gauss,91,9,33,258
vgg16_gauss,89,11,31,260
vgg16_gauss,91,9,30,261
vgg16_gauss,90,10,29,262
vgg16_gauss,93,7,30,261
vgg16_gauss,90,10,30,261
vgg16_gauss,90,10,30,261
vgg16_gauss,89,11,29,262
vgg16_gauss,91,9,30,261
vgg16_gauss,89,11,32,259
vgg16_gauss,90,10,31,260
vgg16_gauss,89,11,28,263
vgg16_gauss,88,12,30,261
vgg16_gauss,90,10,33,258
vgg16_gauss,91,9,28,263
vgg16_gauss,89,11,27,264
vgg16_gauss,91,9,34,257
vgg16_gauss,89,11,32,259
vgg16_gauss,89,11,31,260
vgg16_gauss,90,10,32,259
vgg16_gauss,91,9,29,262
vgg16_gauss,90,10,27,264
